ID,Property Name,City,Region,Type,Email,Email2,Website
IT008265,"Fabulous",Roma,Lazio,Campeggio,fabulous@huopenair.com,,https://fabulous.huopenair.com/
IT008277,"Seven Hills",Roma,Lazio,Campeggio,info@sevenhills.it,,www.sevenhills-roma.it/
IT011054,"Flaminio Village",Roma,Lazio,Campeggio,info@villageflaminio.com,,www.villageflaminio.com
IT011109,"WARMTHOTEL",Roma,Lazio,Hotel,info@warmthotel.it,,http://www.warmthotel.it/
IT011513,"Hu Roma Camping in Town",Roma,Lazio,Campeggio,roma@humancompany.com,,https://roma.huopenair.com/it/
IT012025,"HOTEL POGGIO VERDE",Roma,Lazio,Hotel,info@poggioverderoma.com,,http://www.poggioverderoma.com/
IT012072,"HOTEL LA SCALETTA",Roma,Lazio,Hotel,info@lascaletta.it,,www.lascaletta.it
IT012152,"SOFITEL ROMA VILLA BORGHESE",Roma,Lazio,Hotel,h1312-re@accor.com,,https://all.accor.com/italia/index.it.shtml
IT014484,"FORTYSEVEN LUXURY SUITES COLOSSEO",Roma,Lazio,Altro,stay@47luxurysuites.com,,www.47luxury suites
IT014492,"HOTEL TH ROMA CARPEGNA PALACE DOMUS MARIAE",Roma,Lazio,Hotel,roma@th-resorts.com,,https://www.carpegnapalace.it/
IT014520,"HOTEL ROMA PIETRALATA",Roma,Lazio,Hotel,rm.pietralata@hotelbb.com,,https://www.hotel-bb.com/it
IT014630,"HOTEL MEDICI",Roma,Lazio,Hotel,info@hotelmedici.com,,www.hotelmedici.com
IT014632,"Hotel Corona",Roma,Lazio,Hotel,info@hotelcoronaroma.it,,www.hotelcoronaroma.it
IT014635,"Hotel Campo de' Fiori",Roma,Lazio,Hotel,info@hotelcampodefiori.com,,www.hotelcampodefiori.com
IT014639,"Hotel Eden",Roma,Lazio,Hotel,info@dorchestercollection.com,,https://www.dorchestercollection.com/it/rome/hotel-eden/
IT014640,"ALBERGO HOTEL APHRODITE",Roma,Lazio,Hotel,info@hotelaphrodite.com,,www.hotelaphrodite.com
IT014643,"HOTEL FENIX",Roma,Lazio,Hotel,info@fenixhotel.it,,www.fenixhotel.it
IT014647,"TWENTY ONE ART HOTEL",Roma,Lazio,Hotel,info@twentyonerome.com,,http://www.twentyonehotelrome.com
IT014650,"HOTEL MONTE CENCI",Roma,Lazio,Hotel,info@montecenci.com,,www.montecenci.com
IT014651,"HOTEL DOMUS AURELIA",Roma,Lazio,Hotel,info@novadomusaurelia.it,,https://www.novadomusaurelia.it/
IT014655,"ALBERGO MARCELLA ROYAL HOTEL",Roma,Lazio,Hotel,direzione@mercallaroyalhotel.com,,https://www.marcellaroyalhotel.com
IT014656,"MASSIMO D'AZEGLIO",Roma,Lazio,Hotel,dazeglio@bettojahotels.it,,www.bettoja-massimo-d-azeglio.com
IT016231,"DOUBLETREE BY HILTON ROME MONTI HOTEL",Roma,Lazio,Hotel,info@hnh.it,,https://www.hilton.com/en/hotels/fcomodi-doubletree-rome-monti/
IT016233,"BAROCCO HOTEL",Roma,Lazio,Hotel,info@hotelbarocco.com,,https://www.hotelbarocco.com
IT016236,"HOTEL HORTI 14",Roma,Lazio,Hotel,info@horti14.com,,www.horti14.com
IT016247,"Hotel Corot",Roma,Lazio,Hotel,info@corot.it,,www.hotelcorot.com
IT016256,"Hotel Giulietta e Romeo",Roma,Lazio,Hotel,info@hotelgiuliettaeromeo.eu,,www.hotelgiuliettaeromeo.eu
IT016265,"MAGNIFICO GUEST HOUSE AFFITTACAMERE",Roma,Lazio,Altro,info@magnificorome.it,,www.magnificorome.it
IT016271,"HOTEL STAR",Roma,Lazio,Hotel,info@hotelstar-roma.it,,http://www.hotelstar-roma.it/
IT016276,"MARCO POLO",Roma,Lazio,Hotel,info@hotelmarcopoloroma.it,,www.hotelmarcopoloroma.it
IT016277,"HOTEL LA PERGOLA",Roma,Lazio,Hotel,info@hotellapergola.com,,http://www.hotellapergola.it/
IT016280,"HOTEL ROMA TIBURTINA METRO",Roma,Lazio,Hotel,info@hotelromatiburtina.it,,www.hotelromatiburtina.it
IT016281,"ROBINSON",Roma,Lazio,Hotel,info@hotelrobinsonrome.com>,,www.hotelrobinsonrome.com/
IT016282,"RE DI ROMA",Roma,Lazio,Hotel,info@hotelrediroma.com,,
IT016283,"HOTEL PRINCIPESSA ISABELLA",Roma,Lazio,Hotel,info@hotelprincipessaisabella.com,,www.hotelprincipessaisabella.eu
IT016284,"Albergo Ponte Sisto",Roma,Lazio,Hotel,info@hotelpontesisto.it,,www.hotelpontesisto.it
IT016291,"HOTEL NAVONA",Roma,Lazio,Hotel,info@hotelnavona.com,,www.hotelnavona.com
IT016297,"HOTEL INDIPENDENZA",Roma,Lazio,Hotel,hotelindipendenza@gmail.com,,www.hotelindipendenza.it
IT016313,"Hotel Mercure Roma Cinecittà",Roma,Lazio,Hotel,hc0f7@accor.com,,www.mmhotel.it
IT016339,"ROSE GARDEN PALACE HOTEL ROMA",Roma,Lazio,Hotel,info.rgp@omniahotels.com,,https://www.rosegardenpalaceroma.com
IT016475,"HOTEL RAFFAELLO",Roma,Lazio,Hotel,amministrazione@rgrhotels.it,,www.hotelraffaello.it
IT016551,"DIPENDENZA LA GIOCCA",Roma,Lazio,Altro,alessandro@lagiocca.it,,www.lagiocca.it
IT016636,"W-ROME HOTEL",Roma,Lazio,Hotel,wrome@whotels.com,,http://wrome@whotels.com
IT016641,"Villa Torre Gaia GUEST HOUSE O AFFITTACAMERE",Roma,Lazio,Altro,villatorregaia@gmail.com,,www.villatorregaia.it
IT016767,"Quarto del Cuore",Roma,Lazio,Agriturismo,info@quartodelcuore.com,,www.quartodelcuore.com
IT016792,"Hotel The Caesar Roma",Roma,Lazio,Hotel,info@thecaesarroma.com,,https://thecaesarhotels.com/the-caesar-roma/
IT016802,"citizenM Hotel Rome Isola Tiberina",Roma,Lazio,Hotel,romeitmanager@citizenm.com,,https://www.citizenm.com/it/hotels/europa/roma/roma-isola-tiberina-hotel
IT016811,"HOTEL ROMA SAN LORENZO - TERMINI",Roma,Lazio,Hotel,rm.sanlorenzo@hotelbb.com,,https://www.hotel-bb.com/it
IT016819,"HOTEL BERNINI BRISTOL",Roma,Lazio,Hotel,sinahotels@sinahotels.com,,www.sinahotels.com
IT016840,"NH VILLA CARPEGNA",Roma,Lazio,Hotel,nh.italy@nh-hotels.com,,www.nh-hotels.it
IT017875,"GUEST HOUSE O AFFITTACAMERE RELAIS LUXURY CORSO - 2",Roma,Lazio,Altro,direzione@relaissantamariamaggiore.com,,www.relaisluxurycorso.com
IT017881,"VILLA AGRIPPINA - HOTEL GRAN MELIA' ROME",Roma,Lazio,Hotel,reservation.gran.melia.rome@melia.com,,http://gran.melia.rome@melia.com
IT017883,"HOTEL TULLO",Roma,Lazio,Hotel,ops.italy@numastays.com,,www.numastays.com
IT017890,"ROYAL SANTINA",Roma,Lazio,Hotel,royalsantina@rhr.it,,www.hotelroyalsantina.com
IT017891,"HOTEL CARAVEL",Roma,Lazio,Hotel,s.sampieri@hotelcaravel.it,,http://info@hotelcaravel.it
IT017899,"HOTEL ROMA TUSCOLANA - SAN GIOVANNI",Roma,Lazio,Hotel,rm.tuscolana@hotelbb.com,,http://hotelbb.com
IT017917,"NH COLLECTION ROMA VATICANO",Roma,Lazio,Altro,m.pignatelli@nh-hotels.com,,www.nh-hotels.com
IT017920,"CASA PER FERIE PROVINCIA ITALIANA SUORE RAVE DI SANTA ELISABETTA",Roma,Lazio,Altro,ist.it.s.elisabetta@libero.it,,www.csse-roma.com
IT017921,"SANTA FRANCESCA ROMANA A PONTE ROTTO",Roma,Lazio,Altro,istituto@sfromana.it,,www.sfromana.it
IT017936,"TRINITA' DEI MONTI",Roma,Lazio,Hotel,nuovohoteltrinitadeimonti@gmail.com,,www.hoteltrinitadeimonti.com
IT017937,"Hotel Aurum Roma Olympic",Roma,Lazio,Hotel,olympic@aurumhotels.it,,www.aurumhotels.it/grand-hotel-olympic-roma-centro-lazio
IT017940,"HOTEL MEDITERRANEO",Roma,Lazio,Hotel,mediterraneo@bettojahotels.it,,https://www.romehotelmediterraneo.it/
IT017946,"HOTEL NH COLLECTION GIUSTINIANO",Roma,Lazio,Hotel,nh.italy@nh-hotels.com,,www.nh-hotels.it
IT017971,"THE GUARDIAN HOTEL",Roma,Lazio,Hotel,theguardian@aghotels.it,,www.theguardianhotel.it
IT017974,"albergo 'FLORIS HOTEL'",Roma,Lazio,Hotel,info@florishotel.it,,www.florishotel.it
IT017975,"EVEREST INN ROME SRL",Roma,Lazio,Hotel,info@everestinnrome.it,,www.everestinnrome.it
IT017976,"LUMI HOTEL",Roma,Lazio,Hotel,info@fghotel.it,,https://www.hotelflowergardenrome.com/
IT017977,"HOTEL CITY PALAZZO DEI CARDINALI",Roma,Lazio,Hotel,info@hcpalazzodeicardinali.it,,www.hcpalazzodeicardinali.it
IT017979,"HOTEL CENTER 1",Roma,Lazio,Hotel,info@hotelcenter1.com,,www.hotelcenter1.com
IT017980,"Borgo Pallavicini Mori",Roma,Lazio,Agriturismo,info@borgopallavicinimori.it,,www.borgopallavicinimori.it/
IT017981,"HOTEL DAMASO",Roma,Lazio,Hotel,info@hoteldamaso.it,,www.hoteldamaso.it
IT017983,"HOTEL DEGLI ARTISTI",Roma,Lazio,Hotel,info@hoteldegliartisti.com,,http://www.hoteldegliartisti.com/it
IT017984,"Albergo HOTEL DINA",Roma,Lazio,Hotel,info@hoteldina.it,,www.hoteldina.it
IT017989,"HOTEL GIARDINO D'EUROPA",Roma,Lazio,Hotel,info@hotelgiardinoeuropa.it,,www.hotelgiardinoeuropa.it
IT017990,"IQ HOTEL ROMA",Roma,Lazio,Hotel,info@iqhotelroma.com,,www.iqhotelroma.it
IT017991,"HOTEL BOLIVAR",Roma,Lazio,Hotel,info@bolivarhotel.com,,www.bolivarhotel.eu
IT017992,"BOUTIQUE HOTEL PIEDRA",Roma,Lazio,Hotel,info@boutiquehotelpiedra.com,,https://www.boutiquehotelpiedra.com/
