ID,Property Name,City,Region,Type,Mobile (WhatsApp),Email,Website
IT008276,"Happy",Roma,Lazio,Campeggio,+393331986988,info@happycamping.net,www.happycamping.net
IT008278,"Campeggio internazionale di Castelfusano",Roma,Lazio,Campeggio,+393477342866,info@romacampingcastelfusano.it,www.romacampingcastelfusano.it
IT011847,"VILLA CICOGNANI GUEST HOUSE O AFFITTACAMERE",Roma,Lazio,Altro,+393299164835,info@villacicognani.it,http://guesthouse.villacicognani.it
IT011870,"GUEST HOUSE O AFFITTACAMERE LA DOLCE SOSTA 2",Roma,Lazio,Altro,+393486684793,info@ostiaholidaysrl.com,www.ostiaholidaysrl.com
IT011871,"GUEST HOUSE O AFFITTACAMERE LA DOLCE SOSTA LUXURY",Roma,Lazio,Altro,+393486684793,info@ostiaholidaysrl.com,www.ostiaholidaysrl.com
IT011902,"MEININGER ROMA TERMINI HOSTEL O OSTELLO",Roma,Lazio,Altro,+393510764345,welcome@meininger-hotels.com,https://www.meininger-hotels.com
IT014579,"Hotel Casale Della Certosa",Roma,Lazio,Hotel,+3933295671872,info@casalecertosa.it,www.casalecertosa.it
IT014590,"GUEST HOUSE O AFFITTACAMERE DO - DO NAVONA SUITES",Roma,Lazio,Altro,+393392509768,info@dodonavonasuites.com,www.dodonavonasuites.com
IT014591,"Dolceveneto Rooms Guest House o Affittacamere",Roma,Lazio,Altro,+393389462432,info@dolceveneto.it,www.dolceveneto.it
IT014594,"HOTEL AZZURRA",Roma,Lazio,Hotel,+393383316996,hotelazzurra@hotmail.com,www.hotelazzurra.com
IT014598,"HOTEL PORTAMAGGIORE",Roma,Lazio,Hotel,+393407022845,adriano.pace@hotelsalute.com>,www.shghotelportamaggiore.com
IT014600,"SAN PAOLO GUEST HOUSE",Roma,Lazio,Altro,+393396477194,info@sanpaologuesthouse.it,www.sanpaologuesthouse.it
IT014601,"Tex Hotel",Roma,Lazio,Hotel,+393401585154,info@hoteltexroma.it,www.hoteltexroma.it
IT014604,"Guest House o Affittacamere secret rHome",Roma,Lazio,Altro,+393290355402,reservation@secretrhome.com,www.secretrhome.com
IT014605,"Residenza Maritti Classic rooms Guest House o Affittacamere",Roma,Lazio,Altro,+393289574881,info@residenzamaritti.com,www.residenzamaritti.com
